country,chinese_name
丹麦,EA西南商业学院
丹麦,VIA大学学院
丹麦,丹麦国家音乐学院
丹麦,丹麦技术大学
丹麦,丹麦皇家学院-建筑、设计与修复学院
丹麦,丹麦皇家音乐学院
丹麦,北丹麦大学学院
丹麦,南丹麦大学
丹麦,哥本哈根信息技术大学
丹麦,哥本哈根商业学院
丹麦,哥本哈根商学院
丹麦,哥本哈根大学
丹麦,哥本哈根设计与技术学院
丹麦,奥尔堡大学
丹麦,奥胡斯大学
丹麦,奥胡斯建筑学院
丹麦,押沙龙大学学院
丹麦,皇家音乐学院
丹麦,科灵设计学院
丹麦,罗斯基勒大学
丹麦,西兰商务与技术学院
乌克兰,东乌克兰国立大学
乌克兰,东欧大学
乌克兰,东欧经济与管理大学
乌克兰,中乌克兰国立技术大学
乌克兰,乌克兰卫生部国立医学研究生教育学院
乌克兰,乌克兰国家农业科学院动物育种与遗传学研究所
乌克兰,乌克兰国家农业科学院动物育种与遗传学研究所
乌克兰,乌克兰国家医学科学院眼病与组织疗法研究所
乌克兰,乌克兰国家教育科学院师范教育与成人教育研究所
乌克兰,乌克兰国家科学院丘克表面化学研究所
乌克兰,乌克兰国家科学院低温物理与技术研究所
乌克兰,乌克兰国家科学院克里姆斯基东方研究所
乌克兰,乌克兰国家科学院半导体物理研究所
乌克兰,乌克兰国家科学院单晶研究所
乌克兰,乌克兰国家科学院工程热物理研究所
乌克兰,乌克兰国家科学院微生物学与病毒学研究所
乌克兰,乌克兰国家科学院控制研究所
乌克兰,乌克兰国家科学院数学研究所
乌克兰,乌克兰国家科学院机械工程问题研究所
乌克兰,乌克兰国家科学院材料科学问题研究所
乌克兰,乌克兰国家科学院核研究所
乌克兰,乌克兰国家科学院水生生物研究所
乌克兰,乌克兰国家科学院焊接研究所
乌克兰,乌克兰国家科学院物理机械研究所
乌克兰,乌克兰国家科学院电动力学研究所
乌克兰,乌克兰国家科学院细胞生物学研究所
乌克兰,乌克兰国家科学院能源建模问题研究所
乌克兰,乌克兰国家科学院表面化学研究所
乌克兰,乌克兰国家科学院金属与合金物理技术研究所
乌克兰,乌克兰国家科学院金属物理研究所
乌克兰,乌克兰国家科学院食品生物技术与基因组学研究所
乌克兰,乌克兰国家科学院高分子化学研究所
乌克兰,乌克兰国家边防学院
乌克兰,乌克兰国立体育与运动大学
乌克兰,乌克兰国立化学技术大学
乌克兰,乌克兰国立大学
乌克兰,乌克兰国立技术大学基辅工学院
乌克兰,乌克兰国立柴可夫斯基音乐学院
乌克兰,乌克兰国立生物资源与自然环境大学
乌克兰,乌克兰国立铁路运输大学
乌克兰,乌克兰国防大学
乌克兰,乌克兰天主教大学
乌克兰,乌克兰辩护学院
乌克兰,乌日戈罗德国立大学
乌克兰,乌曼国立师范大学
乌克兰,亚速滨海国立技术大学
乌克兰,人类发展开放国际大学“乌克兰”
乌克兰,伊万诺-弗兰科夫斯克国立石油天然气技术大学
乌克兰,佩列亚斯拉夫-格里戈里·斯科沃罗达大学
乌克兰,佩列亚斯拉夫-格里戈里·斯科沃罗达大学
乌克兰,克拉玛托尔斯克经济与人文学院
乌克兰,克里沃罗格国立大学
乌克兰,克里沃罗格国立师范大学
乌克兰,克里沃罗格国立师范大学
乌克兰,切尔卡瑟国立大学
乌克兰,切尔卡瑟国立理工大学
乌克兰,切尔尼戈夫国立理工大学
乌克兰,切尔诺夫策国立大学
乌克兰,利沃夫国立体育大学
乌克兰,利沃夫国立医科大学
乌克兰,利沃夫国立大学
乌克兰,利沃夫国立技术大学
乌克兰,利沃夫国立艺术学院
乌克兰,利沃夫国立音乐学院
乌克兰,别尔江斯克国立师范大学
乌克兰,别尔江斯克管理与商务大学
乌克兰,区域人力管理学院
乌克兰,南乌克兰国立师范大学
乌克兰,卡缅涅茨-波多利斯基国立大学
乌克兰,卡缅涅茨-波多利斯基国立大学
乌克兰,卢甘斯克国立医科大学
乌克兰,卢甘斯克国立大学
乌克兰,卢甘斯克国立文化艺术学院
乌克兰,卢茨克国立技术大学
乌克兰,哈尔科夫国立体育学院
乌克兰,哈尔科夫国立内务大学
乌克兰,哈尔科夫国立医科大学
乌克兰,哈尔科夫国立大学
乌克兰,哈尔科夫国立工艺美术学院
乌克兰,哈尔科夫国立市政大学
乌克兰,哈尔科夫国立师范大学
乌克兰,哈尔科夫国立文化学院
乌克兰,哈尔科夫国立无线电电子大学
乌克兰,哈尔科夫国立汽车道路大学
乌克兰,哈尔科夫国立空军大学
乌克兰,哈尔科夫国立经济大学
乌克兰,哈尔科夫理工学院
乌克兰,喀尔巴阡国立大学
乌克兰,国家内务学院
乌克兰,国立交通大学
乌克兰,国立信息与通信技术大学
乌克兰,国立医科大学
乌克兰,国立大学“基辅莫吉拉学院”
乌克兰,国立大学“敖德萨法律学院”
乌克兰,国立大学“敖德萨海洋学院”
乌克兰,国立大学“波尔塔瓦理工学院”
乌克兰,国立大学扎波罗热工学院
乌克兰,国立大学敖德萨法学院
乌克兰,国立技术大学哈尔科夫工学院
乌克兰,国立文化与艺术管理人员学院
乌克兰,国立文化与艺术管理学院
乌克兰,国立智能技术与通信大学
乌克兰,国立水与环境工程大学
乌克兰,国立生物技术大学
乌克兰,国立经贸大学
乌克兰,国立统计、会计与审计学院
乌克兰,国立美术与建筑学院
乌克兰,国立航空大学
乌克兰,国立航空航天大学哈尔科夫航空学院
乌克兰,国立艺术与建筑学院
乌克兰,国立药科大学
乌克兰,国立造型艺术与建筑学院
乌克兰,国立造船大学
乌克兰,国立食品技术大学
乌克兰,国际人文大学
乌克兰,国际技术大学“尼古拉耶夫理工学院”
乌克兰,国际科技大学
乌克兰,基辅商业与技术学院
乌克兰,基辅商业与法律合作学院
乌克兰,基辅国立大学
乌克兰,基辅国立工艺与设计大学
乌克兰,基辅国立建筑大学
